User;Community_ID;User_Type
id5474374;0;agent
sushisuper;0;agent
flowersweddingspb;0;agent
lovego;0;agent
glasir;0;agent
lindacherenkova;0;agent
chrisfedorova;0;agent
polysha;0;agent
susannamodels;0;agent
robbydv;0;agent
fotostudiomel;0;agent
gurovalexey;0;agent
psirotkina;0;agent
annaleonastage;0;agent
taisiiaorel;0;agent
lyubovfotospb;0;agent
ladie;0;agent
natalismirnova83;0;agent
id6964207;0;agent
balaeva;0;agent
asya;0;agent
anastasiyapereverzeva;0;agent
tikhomirovadv;0;agent
katarinaseverenchuk;0;agent
proyavkostudio;0;agent
mloft;0;agent
alexanderratnikov;0;agent
liubaeva;0;agent
adini;0;agent
royalwed;0;agent
cerber;1;leader
anonskinonoch;1;follower
lauritaiynbor;1;follower
makashenets;1;follower
julietta.leks;1;follower
chernyshev;1;follower
romanmedvedev;1;follower
irinazinger;1;agent
stunt78;1;agent
tanechka.tanyusha22;1;agent
sinart;1;agent
alievakat;1;agent
darlingyulia;1;agent
belyiae;1;agent
id167709277;1;agent
leylaf;1;agent
id163007151;1;agent
vladimirstrawberry;1;agent
rozo4kina;1;agent
id299814;1;agent
id16972546;1;agent
chikulja;1;agent
rostovastar;1;agent
gigatime;1;agent
antonovalyubov;1;agent
abstemius;1;agent
vasiluk;1;agent
groovova;1;agent
ms.anastaisha;1;agent
daskovsky;1;agent
chrisstar;1;agent
boojywoo;1;agent
igorneputin;1;agent
id249122548;1;agent
semanin;1;agent
zlenko;1;agent
sergin;1;agent
shtepaigor;1;agent
id1934;1;agent
engage;1;agent
mashkarin;1;agent
id84324595;1;agent
estlife;1;agent
id20897800;1;agent
aljaem;1;agent
natakrutovanata2011;1;agent
olegariodeep;1;agent
nikolalazarev;1;agent
freez;1;agent
cocktailproject;1;agent
id81681113;1;agent
id187681;1;agent
vasilytsarev;1;agent
id64739657;1;agent
ekataev;1;agent
id37795;1;agent
leonidshow;1;agent
dziubadaria;1;agent
andrejerastov;1;agent
stereoroma;1;agent
maximilianlapin;1;agent
mensmerit;1;agent
vologdina;1;agent
nikolyatsoy;1;agent
id115857689;1;agent
nataliiaa;1;agent
cherenkovaveronika;1;agent
showmansmirnov;1;agent
vera1892;1;agent
lanly;1;agent
lnekrasova;1;agent
smaistrov;1;agent
kraevae;1;agent
id31107;1;agent
esinsky;1;agent
id300666;1;agent
djharisov;1;agent
annarich84;1;agent
fedchuk;1;agent
kazansky;1;agent
pavelsinicin;1;agent
dvikhrov;1;agent
apollonovv;1;agent
nineoneone;1;agent
idtassssha;1;agent
id33314;1;agent
nikolaysamoilov;1;agent
voinovskiy;1;agent
anastasiavarlamova;1;agent
averbakh;1;agent
belochkinaolesya;1;agent
alexpeace;1;agent
aleslizkov;1;agent
id7501;1;agent
mariiavip;1;agent
id118649194;1;agent
id363810025;1;agent
nemchikov;1;agent
vikiseleva;1;agent
talalay;1;agent
prokat;1;agent
i.krainyuk;1;agent
leragansta;1;agent
id23555;1;agent
id351803031;1;agent
avikshaboyan;1;agent
seregapavlenko;1;agent
edwardskat;1;agent
shevelkovivan;1;agent
bki2013;1;agent
id300636;1;agent
belovachristina;1;agent
vkomnatke;1;agent
idguffik;1;agent
perovandrey86;1;agent
landman;1;agent
fotoart;1;agent
muchkaev;1;agent
tourmix15;1;agent
brytalno;1;agent
elmirakachaeva;1;agent
id73902851;1;agent
angelinataburtsa;1;agent
tereshina;1;agent
grianart;1;agent
nastyaskvirya;1;agent
kackac;1;agent
creativereality;1;agent
dimatim;1;agent
asirotkin;1;agent
alexandr.mishchenko;1;agent
maksimkarpov;1;agent
vividj;1;agent
anngelok;1;agent
deejay;1;agent
sontales;1;agent
lerentas;1;agent
roman.sharafutdinov;1;agent
kosmosst;1;agent
a.bratukhina;1;agent
olyaflow;2;leader
krivdukpsiholog;2;follower
zoyaskobeltsyna;2;follower
dimabumagin;2;follower
chooev;2;agent
gurevic;2;agent
vladimirtrudov;2;agent
smallfly;2;agent
wedding;2;agent
id94511618;2;agent
impala64;2;agent
sechko1;2;agent
dianati;2;agent
bobbyking;2;agent
geldman;2;agent
alexburd;2;agent
hesarocker;2;agent
estrin1;2;agent
nataliageller;2;agent
anti;2;agent
stigmat;2;agent
danushkin;2;agent
xristinaargentina;2;agent
philipprus;2;agent
hulumulus;2;agent
valio;2;agent
akren;3;leader
frolovrn;3;follower
simonkibalo;3;follower
maxlykov;3;follower
ekovalev;3;follower
id1087;3;follower
id5047;3;agent
philippov;3;agent
vinni;3;agent
marinka.arkhipova;3;agent
d.butikova;3;agent
alexdpi;3;agent
bamurashev;3;agent
kasyanov.vitaliy;3;agent
sanychbox;3;agent
vyrelkin;3;agent
daneliya;3;agent
tatarinov;3;agent
stopmosk;3;agent
id7189;3;agent
id8086;3;agent
karmannoezlo;3;agent
id555;3;agent
kopotilov;3;agent
izevsik;3;agent
samvelave;3;agent
id1675850;3;agent
mnbvc;3;agent
t.nikitina;3;agent
annaslo;3;agent
pavelangel;3;agent
novic;3;agent
yurismirnov;3;agent
baholdin;3;agent
id2266;3;agent
baklanton;3;agent
strangerars;3;agent
khudyakova;3;agent
z.vasilisa;3;agent
id1218;3;agent
knyzeva;3;agent
liukonen;3;agent
zosser;3;agent
zarubink;3;agent
victoria.stepanova;3;agent
zdrobilko;3;agent
id56820;3;agent
valent;3;agent
nuidela;3;agent
artemkorenevsky;3;agent
id2836;3;agent
sitnikova;3;agent
id40933;3;agent
korlevna;3;agent
pavelkurnosenkov;3;agent
savichev;3;agent
isvetlo;3;agent
id26400;3;agent
pasholikov;3;agent
id710;3;agent
id54927;3;agent
temoshamedvedev;3;agent
timbogdanov;3;agent
tihiy;3;agent
golikova;4;leader
fotoruna1;4;follower
id5037;4;follower
id1091;4;follower
d.b.romanova;4;follower
tanushka;4;follower
petrova;4;follower
dmitry.antipov;4;follower
vital;4;follower
kapulkin;4;follower
id7586;4;agent
poskryakov;4;agent
nikita.kalinin;4;agent
fedor.tsarev;4;agent
kapnov;4;agent
pavel.fedotov;4;agent
amosov;4;agent
sammarize;4;agent
id1354;4;agent
nikter;4;agent
id51210;4;agent
id34;4;agent
djack;4;agent
skrendel;4;agent
lenauspenskaya;4;agent
egor;4;agent
almosyagin;4;agent
id2619;4;agent
andrew;4;agent
id7373;4;agent
alionamarkovich;4;agent
o.polyakova;4;agent
id375;4;agent
iasonov;4;agent
burunduk1;4;agent
romansemizarov;4;agent
unclekura;4;agent
olga.silina;4;agent
id212;4;agent
id25119;4;agent
grich;4;agent
aalexeevru;4;agent
vsevolod.vlasov;4;agent
id23231;4;agent
andrewnovoselsky;4;agent
quasikva;4;agent
id12594;4;agent
id30380;4;agent
id29580;4;agent
ks.krapivina;4;agent
natalia.baranova;4;agent
ay;4;agent
mikaza;4;agent
burunduk3;4;agent
ivankozlov;4;agent
darushin;4;agent
dievsky;4;agent
septembreange;4;agent
tlando;4;agent
id533;4;agent
georgemavchun;4;agent
id10235;4;agent
avsmal;4;agent
skipsky;4;agent
shmakov;4;agent
egorfilatov;4;agent
vyahhi;4;agent
digitalfarseer;4;agent
id7705;4;agent
dorokhov;4;agent
zilberburg;4;agent
george;4;agent
fedorpetrov;4;agent
kseyas;4;agent
natalya;4;agent
elistratov;4;agent
anukhinpavel;4;agent
elnara;4;agent
pusev;4;agent
valentinvd;4;agent
id22772;4;agent
ok;4;agent
artemenko;4;agent
litviak;4;agent
taniaprudnikova;4;agent
aobogatov;4;agent
